c3.2xlarge,m3.large,m3.xlarge,pi,tk1,
44037.0,36336.0,38826.0,68435.0,23557.0,
39191.0,35635.0,38742.0,64902.0,18808.0,
44803.0,36767.0,38688.0,69934.0,18502.0,
42444.0,37506.0,39474.0,69561.0,21197.0,
41229.0,37070.0,39351.0,66291.0,19512.0,
41491.0,37660.0,39170.0,70038.0,25236.0,
40355.0,37765.0,39066.0,68070.0,24768.0,
40964.0,37994.0,40012.0,72715.0,19591.0,
41955.0,38025.0,39218.0,68557.0,22830.0,
40223.0,38633.0,40475.0,69315.0,19746.0,
41746.0,38879.0,40060.0,69375.0,18432.0,
40735.0,38399.0,39704.0,71998.0,27407.0,
39470.0,39115.0,41893.0,74936.0,22143.0,
42801.0,39940.0,41196.0,69696.0,24313.0,
42461.0,39443.0,40719.0,71004.0,22050.0,
42228.0,39247.0,41442.0,68999.0,21836.0,
44393.0,39169.0,41173.0,69865.0,28009.0,
47252.0,39335.0,41764.0,71056.0,23878.0,
45467.0,39711.0,42688.0,70568.0,19771.0,
42762.0,39831.0,41205.0,74752.0,22154.0,
45630.0,39428.0,42582.0,73820.0,22761.0,
44709.0,40325.0,42284.0,75613.0,25301.0,
44863.0,40802.0,42421.0,70786.0,20832.0,
46608.0,41482.0,43556.0,76516.0,20170.0,
44948.0,40787.0,44256.0,73206.0,22036.0,
45962.0,41376.0,43785.0,70968.0,22879.0,
46520.0,41004.0,44323.0,73229.0,23136.0,
47997.0,41508.0,43426.0,75673.0,23363.0,
44918.0,42084.0,44183.0,75922.0,20711.0,
44886.0,42460.0,45777.0,72775.0,26459.0,
45466.0,42433.0,44711.0,75250.0,22495.0,
46670.0,42563.0,44771.0,74204.0,24328.0,
44512.0,42092.0,44512.0,78458.0,23448.0,
47474.0,43197.0,45772.0,70425.0,22844.0,
46532.0,44311.0,45579.0,77096.0,26439.0,
49465.0,43362.0,43998.0,76027.0,24449.0,
49339.0,43952.0,46397.0,78879.0,23063.0,
45379.0,43519.0,44467.0,76810.0,24971.0,
49265.0,44350.0,45852.0,77568.0,24643.0,
47988.0,44519.0,47305.0,75835.0,26172.0,
48006.0,44634.0,46181.0,77952.0,28275.0,
47340.0,44801.0,47011.0,76756.0,24779.0,
46887.0,44866.0,46508.0,79989.0,24389.0,
49745.0,44985.0,46595.0,82800.0,26088.0,
51552.0,45627.0,48049.0,76747.0,25884.0,
48851.0,45725.0,48251.0,76228.0,26284.0,
49377.0,46101.0,48384.0,75063.0,24381.0,
49667.0,45732.0,48196.0,72681.0,24419.0,
49943.0,45941.0,48732.0,76307.0,23315.0,
51523.0,45565.0,48945.0,79662.0,25546.0,
51989.0,46337.0,52410.0,77919.0,26183.0,
50956.0,46258.0,50988.0,77360.0,23783.0,
52284.0,46418.0,49646.0,77521.0,24677.0,
51078.0,46812.0,49540.0,80249.0,26893.0,
52248.0,47490.0,49976.0,76480.0,31627.0,
53220.0,47684.0,49008.0,80029.0,27933.0,
50830.0,46769.0,49536.0,79885.0,25713.0,
52314.0,48323.0,49611.0,78812.0,26295.0,
52797.0,47853.0,49505.0,84551.0,25645.0,
50855.0,48448.0,50322.0,85381.0,26161.0,
51155.0,48582.0,50808.0,84193.0,26645.0,
52858.0,48153.0,50556.0,81067.0,25793.0,
55998.0,49019.0,51400.0,78058.0,24103.0,
53861.0,49234.0,51686.0,85699.0,26664.0,
55049.0,49092.0,51906.0,82120.0,26278.0,
53702.0,49140.0,52745.0,85072.0,25096.0,
52013.0,50848.0,51027.0,79653.0,26805.0,
54129.0,50500.0,50599.0,82340.0,28236.0,
53344.0,50843.0,51766.0,84824.0,27963.0,
56489.0,51009.0,52056.0,84420.0,26859.0,
55296.0,51652.0,54011.0,83749.0,25042.0,
53882.0,50627.0,52319.0,80583.0,23736.0,
55422.0,50344.0,52153.0,80383.0,25766.0,
54901.0,52052.0,52320.0,86048.0,28490.0,
56880.0,50544.0,52793.0,87160.0,28961.0,
56168.0,52351.0,53729.0,80637.0,23361.0,
55685.0,51914.0,54415.0,87407.0,25905.0,
56375.0,53031.0,53397.0,83019.0,25332.0,
57210.0,52465.0,54805.0,86050.0,27693.0,
54878.0,51603.0,54568.0,89017.0,23893.0,
56797.0,52772.0,54621.0,82981.0,24027.0,
56566.0,52683.0,55104.0,89556.0,24153.0,
55709.0,54036.0,54012.0,83712.0,28586.0,
57762.0,53871.0,55354.0,89243.0,27118.0,
56377.0,53884.0,56552.0,88233.0,27516.0,
58368.0,54208.0,55680.0,88268.0,28538.0,
58953.0,54176.0,57151.0,88739.0,29714.0,
57046.0,54691.0,55568.0,90778.0,27065.0,
57301.0,54730.0,55646.0,89202.0,23719.0,
56609.0,54700.0,57655.0,90635.0,29496.0,
58620.0,55463.0,56626.0,86748.0,27923.0,
58981.0,54357.0,56259.0,84393.0,33338.0,
57987.0,54312.0,57898.0,90973.0,28185.0,
57934.0,55118.0,57918.0,90192.0,27373.0,
58181.0,54797.0,56320.0,88028.0,29202.0,
60974.0,55215.0,59802.0,89819.0,27925.0,
63557.0,55333.0,57989.0,88580.0,23639.0,
60031.0,55611.0,59399.0,89518.0,28243.0,
59559.0,55194.0,59096.0,85271.0,32633.0,
59827.0,55633.0,60744.0,86418.0,26744.0,
59819.0,56349.0,57824.0,88367.0,28045.0,
62189.0,56733.0,58921.0,92626.0,29881.0,
62143.0,56347.0,59536.0,88371.0,32890.0,
61758.0,56786.0,59926.0,89958.0,28014.0,
60396.0,57138.0,58129.0,87245.0,26232.0,
61101.0,58232.0,58691.0,91233.0,25751.0,
61652.0,57982.0,59970.0,90617.0,27618.0,
62796.0,58689.0,60339.0,93208.0,28422.0,
60205.0,59054.0,61324.0,91082.0,25072.0,
63854.0,58506.0,60594.0,91934.0,28894.0,
62702.0,58971.0,61860.0,90969.0,27437.0,
64052.0,59719.0,60651.0,86870.0,28388.0,
64265.0,59398.0,60740.0,97502.0,34601.0,
63421.0,58651.0,62836.0,93159.0,33780.0,
64646.0,58991.0,61601.0,94096.0,31571.0,
64814.0,59930.0,60269.0,90478.0,25989.0,
65686.0,59955.0,62681.0,90591.0,36121.0,
62258.0,59774.0,62760.0,97809.0,30136.0,
63747.0,61104.0,62440.0,94333.0,28325.0,
64786.0,60193.0,63294.0,90741.0,30828.0,
66657.0,61209.0,61675.0,94516.0,30066.0,
65224.0,59602.0,61715.0,97573.0,31286.0,
66770.0,61591.0,63680.0,90606.0,31318.0,
67205.0,61502.0,62756.0,93697.0,27489.0,
67560.0,62058.0,64015.0,92216.0,36466.0,
63998.0,61786.0,63084.0,97922.0,31219.0,
64322.0,61884.0,62961.0,98893.0,29745.0,
64494.0,61467.0,66198.0,95790.0,28085.0,
69443.0,62248.0,64045.0,98985.0,26651.0,
66162.0,61134.0,66505.0,92006.0,27720.0,
65161.0,62247.0,66109.0,98315.0,34589.0,
65472.0,61645.0,66050.0,100207.0,31393.0,
65074.0,62243.0,64997.0,97977.0,31787.0,
66509.0,62291.0,64072.0,99319.0,30167.0,
67042.0,63736.0,67648.0,95772.0,30183.0,
67133.0,62528.0,64528.0,98216.0,27293.0,
68103.0,63329.0,66860.0,91001.0,28728.0,
70894.0,62424.0,65021.0,94092.0,28356.0,
66897.0,63636.0,68996.0,98252.0,31112.0,
68038.0,64301.0,65816.0,100223.0,34858.0,
68476.0,65077.0,66509.0,103009.0,31903.0,
68690.0,63858.0,68163.0,100619.0,30654.0,
69118.0,64841.0,67375.0,99729.0,30599.0,
68533.0,65054.0,69158.0,99060.0,32781.0,
68022.0,65283.0,67284.0,102219.0,33839.0,
68212.0,65625.0,70466.0,94228.0,31860.0,
68407.0,64982.0,67789.0,102175.0,32046.0,
68699.0,66758.0,68233.0,102749.0,30169.0,
71408.0,66200.0,67899.0,97378.0,31393.0,
71120.0,66079.0,70477.0,97887.0,29842.0,
70683.0,65727.0,68664.0,101314.0,31477.0,
70342.0,66107.0,70595.0,100729.0,30723.0,
72051.0,67090.0,68962.0,104446.0,34217.0,
71690.0,66207.0,68611.0,99952.0,33475.0,
72504.0,66927.0,70561.0,102052.0,32619.0,
68476.0,66307.0,69702.0,102780.0,33290.0,
75099.0,67165.0,69136.0,99746.0,31284.0,
71090.0,67280.0,70962.0,103106.0,31006.0,
69167.0,69105.0,70181.0,104365.0,36921.0,
70268.0,68723.0,68973.0,104722.0,32617.0,
72938.0,68996.0,71781.0,104148.0,32201.0,
72009.0,68827.0,70185.0,103820.0,34134.0,
71219.0,69064.0,69440.0,103883.0,35710.0,
73615.0,69613.0,69748.0,103990.0,31721.0,
71991.0,70050.0,70646.0,100673.0,33495.0,
73375.0,70416.0,71818.0,102458.0,34497.0,
73840.0,69940.0,72687.0,103182.0,32275.0,
73328.0,69747.0,72592.0,101932.0,34806.0,
75637.0,70581.0,70664.0,107365.0,30277.0,
75929.0,69947.0,71121.0,106960.0,29875.0,
73821.0,69898.0,73852.0,100981.0,34293.0,
74208.0,69945.0,72978.0,102826.0,35761.0,
74833.0,71102.0,74316.0,104206.0,32830.0,
69663.0,70907.0,73529.0,107241.0,33087.0,
71569.0,71420.0,76369.0,100347.0,28998.0,
72553.0,70609.0,73001.0,107198.0,39884.0,
74419.0,71304.0,74307.0,105557.0,30064.0,
75790.0,71567.0,71820.0,99026.0,33386.0,
73658.0,72021.0,76591.0,99042.0,35400.0,
77146.0,73465.0,73823.0,109581.0,31538.0,
76936.0,69987.0,73589.0,107985.0,31153.0,
74749.0,71922.0,75554.0,106543.0,35974.0,
74600.0,72238.0,76516.0,105501.0,34204.0,
78522.0,73640.0,76526.0,105214.0,34686.0,
77802.0,72609.0,75212.0,106261.0,36558.0,
78143.0,73416.0,74619.0,107997.0,29618.0,
81635.0,73993.0,75809.0,108652.0,36864.0,
78264.0,73783.0,75591.0,110019.0,34568.0,
82581.0,73874.0,77421.0,112734.0,40281.0,
80772.0,74387.0,76862.0,106585.0,31848.0,
77851.0,73631.0,76293.0,110004.0,33810.0,
78804.0,74475.0,77621.0,112038.0,31085.0,
79324.0,75157.0,77703.0,112083.0,33511.0,
80486.0,74884.0,77922.0,106157.0,35473.0,
81722.0,75583.0,79706.0,112039.0,31049.0,
79750.0,74620.0,76853.0,113263.0,35288.0,
81339.0,74761.0,77763.0,110144.0,31296.0,
81521.0,76157.0,77770.0,112818.0,32473.0,
80565.0,76049.0,77190.0,112388.0,33750.0,
80284.0,76599.0,78944.0,107024.0,41139.0,
80405.0,76457.0,84193.0,113354.0,34116.0,
85758.0,76799.0,80828.0,113020.0,39281.0,
81537.0,77191.0,82086.0,110129.0,31191.0,
81767.0,77213.0,82099.0,111101.0,36162.0,
82162.0,77631.0,79578.0,114282.0,33063.0,
79794.0,76430.0,80056.0,108995.0,32795.0,
83181.0,76923.0,80016.0,112442.0,35902.0,
81340.0,78195.0,81070.0,117379.0,36093.0,
85719.0,77752.0,79724.0,111822.0,30646.0,
84075.0,79154.0,80890.0,112503.0,38727.0,
82288.0,79611.0,80327.0,116029.0,36330.0,
82547.0,77494.0,83907.0,114759.0,36144.0,
84960.0,78911.0,81661.0,116385.0,33671.0,
82150.0,78976.0,84679.0,115246.0,35454.0,
84571.0,79615.0,80654.0,111938.0,35302.0,
84214.0,80027.0,80375.0,114376.0,36401.0,
84892.0,77568.0,82417.0,117260.0,36633.0,
85497.0,80600.0,84375.0,115557.0,35614.0,
85961.0,80134.0,87942.0,112632.0,34246.0,
85358.0,80725.0,84423.0,113783.0,35363.0,
85991.0,80613.0,82444.0,117653.0,35901.0,
84627.0,80928.0,86320.0,115754.0,37506.0,
82041.0,81128.0,82963.0,114564.0,36341.0,
83583.0,82019.0,84146.0,115140.0,37196.0,
83014.0,81333.0,83073.0,116571.0,36747.0,
88644.0,81714.0,83317.0,118600.0,34347.0,
88057.0,82100.0,88681.0,120026.0,37798.0,
84622.0,82106.0,83125.0,118180.0,39109.0,
88942.0,83442.0,87129.0,111287.0,34859.0,
85059.0,82115.0,87297.0,113366.0,37442.0,
90680.0,82374.0,88627.0,119764.0,37216.0,
88459.0,83428.0,88189.0,118971.0,32557.0,
88383.0,82764.0,86975.0,117454.0,36616.0,
89748.0,82988.0,84409.0,120489.0,41926.0,
89122.0,82540.0,86761.0,115324.0,37280.0,
88677.0,83326.0,88606.0,113339.0,38964.0,
89227.0,83598.0,84627.0,121667.0,37405.0,
85272.0,84137.0,88811.0,120582.0,33506.0,
94317.0,85085.0,87452.0,117995.0,33194.0,
89157.0,85351.0,87089.0,117467.0,36391.0,
89362.0,84986.0,89813.0,123900.0,37677.0,
87046.0,84520.0,89214.0,123106.0,40103.0,
92637.0,85589.0,89338.0,114846.0,37145.0,
88932.0,85040.0,90331.0,120114.0,38658.0,
87717.0,86191.0,88289.0,121958.0,37090.0,
87497.0,84728.0,88736.0,116666.0,42897.0,
89429.0,85231.0,88969.0,122884.0,37812.0,
93453.0,85650.0,88450.0,119584.0,35144.0,
90620.0,86805.0,89304.0,122351.0,39641.0,
93117.0,86916.0,87825.0,121279.0,33945.0,
90434.0,87568.0,90961.0,122576.0,38172.0,
90908.0,86692.0,88680.0,122020.0,38247.0,
90243.0,87398.0,91632.0,122271.0,36638.0,
90180.0,87372.0,92209.0,120131.0,36682.0,
93900.0,88085.0,90451.0,125849.0,35031.0,
90435.0,87766.0,89206.0,124434.0,39091.0,
94512.0,87241.0,90366.0,120394.0,38056.0,
92037.0,87774.0,89238.0,116425.0,39399.0,
94355.0,88163.0,92341.0,125994.0,37883.0,
91307.0,87708.0,91485.0,123438.0,40806.0,
96250.0,89493.0,92637.0,123260.0,38383.0,
92511.0,88461.0,91246.0,124709.0,38782.0,
92851.0,87337.0,94303.0,122845.0,41734.0,
90766.0,88860.0,92530.0,127284.0,38886.0,
94771.0,88954.0,90955.0,126694.0,45196.0,
92817.0,90676.0,93941.0,120225.0,41748.0,
92037.0,90677.0,92856.0,126190.0,37263.0,
96852.0,90881.0,93958.0,124405.0,36044.0,
97725.0,90996.0,93914.0,128448.0,37236.0,
97679.0,92009.0,99563.0,121111.0,41777.0,
98777.0,91195.0,93431.0,123700.0,40790.0,
98570.0,90790.0,97749.0,127858.0,37886.0,
96862.0,91693.0,92719.0,124862.0,43539.0,
95683.0,90687.0,95290.0,124713.0,38460.0,
95751.0,91477.0,98300.0,128132.0,39752.0,
94499.0,89894.0,95207.0,130762.0,42075.0,
98447.0,90238.0,99458.0,125474.0,43258.0,
96365.0,92930.0,96806.0,126289.0,39144.0,
96204.0,92120.0,96572.0,125211.0,41203.0,
95643.0,93020.0,98034.0,124050.0,38706.0,
96341.0,93596.0,98099.0,125800.0,37566.0,
96118.0,92875.0,96579.0,127347.0,42898.0,
94015.0,94103.0,98621.0,124120.0,40936.0,
96440.0,92327.0,99506.0,130063.0,39193.0,
94409.0,94128.0,93046.0,129828.0,36787.0,
97812.0,93601.0,96495.0,132277.0,40905.0,
96973.0,93129.0,97342.0,122939.0,42911.0,
97177.0,92985.0,96868.0,125117.0,39849.0,
99105.0,94403.0,98981.0,130624.0,42459.0,
97515.0,94349.0,97538.0,130664.0,38751.0,
101009.0,94571.0,96413.0,129483.0,39349.0,
100433.0,93259.0,97064.0,129861.0,40402.0,
98781.0,94906.0,98903.0,125962.0,36949.0,
98493.0,93136.0,98813.0,129803.0,38170.0,
99325.0,95223.0,99984.0,132358.0,43678.0,
103006.0,95643.0,100200.0,133711.0,39352.0,
101502.0,95535.0,98042.0,130862.0,44951.0,
100074.0,95970.0,95769.0,129873.0,38500.0,
101870.0,96495.0,103119.0,131311.0,42903.0,
101281.0,97221.0,101789.0,127892.0,41519.0,
