AL-9,16, 560.0,356
AL-9,16, 533.0,356
AL-9,15, 544.0,356
AL-9,15, 543.0,356
AL-9,14, 565.0,356
AL-9,14, 528.0,356
AL-9,13, 554.0,356
AL-9,13, 550.0,356
AL-9,13, 532.0,356
AL-9,12, 573.0,356
AL-9,12, 565.0,356
AL-9,12, 551.0,356
AL-9,11, 544.0,356
AL-9,11, 516.0,356
AL-9,11, 506.0,356
AL-9,10, 539.0,356
AL-9,10, 514.0,356
AL-9,10, 512.0,356
AL-8,9, 524.0,333
AL-8,9, 518.0,333
AL-8,9, 513.0,333
AL-8,16, 514.0,333
AL-8,16, 498.0,333
AL-8,15, 508.0,333
AL-8,15, 507.0,333
AL-8,14, 528.0,333
AL-8,14, 507.0,333
AL-8,13, 525.0,333
AL-8,13, 519.0,333
AL-8,13, 494.0,333
AL-8,12, 549.0,333
AL-8,12, 543.0,333
AL-8,12, 531.0,333
AL-8,11, 534.0,333
AL-8,11, 518.0,333
AL-8,11, 495.0,333
AL-8,10, 543.0,333
AL-8,10, 537.0,333
AL-8,10, 511.0,333
AL-7,9, 547.0,358
AL-7,9, 543.0,358
AL-7,9, 537.0,358
AL-7,8, 593.0,358
AL-7,8, 570.0,358
AL-7,8, 556.0,358
AL-7,16, 565.0,358
AL-7,16, 546.0,358
AL-7,15, 562.0,358
AL-7,15, 557.0,358
AL-7,14, 555.0,358
AL-7,14, 526.0,358
AL-7,13, 537.0,358
AL-7,13, 520.0,358
AL-7,13, 511.0,358
AL-7,12, 573.0,358
AL-7,12, 547.0,358
AL-7,12, 540.0,358
AL-7,11, 578.0,358
AL-7,11, 543.0,358
AL-7,11, 517.0,358
AL-7,10, 564.0,358
AL-7,10, 541.0,358
AL-7,10, 531.0,358
AL-6,9, 550.0,376
AL-6,9, 548.0,376
AL-6,9, 544.0,376
AL-6,8, 570.0,376
AL-6,8, 562.0,376
AL-6,8, 510.0,376
AL-6,7, 578.0,376
AL-6,7, 550.0,376
AL-6,7, 534.0,376
AL-6,16, 595.0,376
AL-6,16, 556.0,376
AL-6,15, 546.0,376
AL-6,15, 543.0,376
AL-6,14, 554.0,376
AL-6,14, 539.0,376
AL-6,13, 584.0,376
AL-6,13, 572.0,376
AL-6,13, 566.0,376
AL-6,12, 570.0,376
AL-6,12, 567.0,376
AL-6,12, 547.0,376
AL-6,11, 570.0,376
AL-6,11, 551.0,376
AL-6,11, 540.0,376
AL-6,10, 555.0,376
AL-6,10, 541.0,376
AL-6,10, 531.0,376
AL-5,9, 530.0,329
AL-5,9, 511.0,329
AL-5,9, 510.0,329
AL-5,8, 518.0,329
AL-5,8, 502.0,329
AL-5,8, 493.0,329
AL-5,7, 550.0,329
AL-5,7, 512.0,329
AL-5,7, 490.0,329
AL-5,6, 518.0,329
AL-5,6, 515.0,329
AL-5,6, 512.0,329
AL-5,16, 536.0,329
AL-5,16, 505.0,329
AL-5,15, 551.0,329
AL-5,15, 534.0,329
AL-5,14, 524.0,329
AL-5,14, 507.0,329
AL-5,13, 524.0,329
AL-5,13, 517.0,329
AL-5,13, 509.0,329
AL-5,12, 555.0,329
AL-5,12, 545.0,329
AL-5,12, 523.0,329
AL-5,11, 526.0,329
AL-5,11, 512.0,329
AL-5,11, 497.0,329
AL-5,10, 527.0,329
AL-5,10, 524.0,329
AL-5,10, 1696.0,329
AL-4,9, 553.0,351
